Ticker|Name|Exchange|Country
PXMI.PA|Lyxor ETF PEA FTSE MIB Dly DbSh Xbear C?|PSX|USA
CSPXJ.SW|ISHS CR PAC USD-AC|EBS|Austria
VIXH|First Trust CBOE S&P; 500 VIXTail H ETF|PCX|USA
82181.L|RBS/INDEX 14|LSE|UK
10LH.L|FRIEN/HSBC WT21|LSE|UK
HEEM.MX|ISHS CRHDG MSCI EM|MEX|Mexico
ERUS.MX|ISH MSCI RU CAP|MEX|Mexico
SPYR.BE|SSGA MSCI DI EUR-AC|BER|Germany
45DQ.L|JOYOUNG/HSBC WT20|LSE|UK
HGY.TO|Horizons Gold Yield ETF Comm|TOR|Canada
FDN|First Trust Dow Jones Internet ETF|PCX|USA
IQQA.HM|ISHS EUR DIVID G-CT|HAM|Germany
VIOG.A||ASE|USA
HMWO.L|HSBC ETFS PLC HSBC MSCI WORLD U|LSE|UK
DE5A.F|AM INV GR UC ETF C|FRA|Germany
IXUS.MX|ISHS COMSCI INT|MEX|Mexico
IBC0.SG|ISHS MSCI EU EUR-AC|STU|Germany
DBZR.BE|DBXT HSI SH DAY 2C|BER|Germany
IND25-58.TA|TA25/INDEX SAL S58|TLV|Israel
CSNKY.SW|ISHS NIK 225 JPY-AC|EBS|Austria
10737489.SW|ISHS 100 GBP-ACC|EBS|Austria
M9SB.DE|RBS Market Access - RICI Agriculture Index UCITS ETF|GER|Germany
CRB.SW|L C T R/C U E C USD|EBS|Austria
77AF.L|STC/HSBC 18|LSE|UK
^INSYBLE|SPDR Barclays 15+ Year Gilt UCI|NIM|
EXXT.F|ISHS NASDAQ-100|FRA|Germany
TURU.L|Lyxor ETF Turkey (DJ Turkey Tit 20) A/I|LSE|UK
XMKR.DE|DBXT RUSSEL MID 1C|GER|Germany
UEF2.F|UBS ETF MJAP HE AC|FRA|Germany
D5BG.DE|db x-trackers II - iBoxx EUR Liquid Corporate UCITS ETF|GER|Germany
100417.L|SSI/RBS 15|LSE|UK
RJI.A||ASE|USA
