Ticker|Name|Exchange|Country
^R2VC10TR|Russell 2000 Daily Volatility C|WCB|USA
^NQASPA1000LMGBPN|NASDAQ ASPA Basic Matls Lg Md C|NIM|USA
INCN1.NX|CASAM NORDIC INAV|ENX|Europe
^BKXYD|BNY Mellon China Xia Y? Dai ADR|SNP|USA
^DJTHCAR|Dow Jones Health Care Titans 30|DJI|USA
Q5M.Z|STXETMSWS EUR P|ZRH|Switzerland
PIQR.Z|ESTXSTVA20 EUR P|ZRH|Switzerland
IL05.L|UK GILT IL OV 15|FSI|UK
^YHOH770|||
BESCS.NX|BEL SOFT.& COMP.SER|ENX|Europe
^NQEMASIA3500LMN|NASDAQ EM Asia Food & Beverage |NIM|USA
^NQEMASIA0001LM|NASDAQ EM Asia Oil & Gas Large |NIM|USA
^NQKR8000LMCADT|NASDAQ Korea Financials Lg Md C|NIM|USA
^DWEU|Dow Jones Europe Total Stock Ma|DJI|USA
WINAMERS1730.L|FTSE NA-FOR&PAPER;|FSI|UK
^BCOMHO1T|BBG HeatOilSub1MFwd TR|WCB|USA
WIEURS9000.FGI|FTSE EU - TECHNOLOG|FGI|UK
0JG0.DE|INAV DB X-TRACK CHF|GER|Germany
WDO5.DE|INAVDBDJST600O&G1CS;|GER|Germany
IPOSE.L|FTSE Renaissance EMEA IPO Index|LSE|UK
I:BCOMRKC|Dow Jones-UBS Roll Select Coffe|SNP|USA
^VXFXI|CBOE CHINA ETF VOLATILITY INDEX|WCB|USA
^NQEU5300LMAUDN|NASDAQ Europe Retail Large Mid |NIM|USA
^NQUSS9578EURN|NQ US Sm Cap Telecom Eqpt EUR N|NIM|USA
ENGRNZ.L|FTSE EPRA/NAREIT DE|FSI|UK
^NQUSS2777GBP|NQ US Sm Cap Transportation Svc|NIM|USA
^NQUSB8536LMEURN|NQ US  Property & Casualty Ins |NIM|USA
^NQASPA0001LMGBPN|NASDAQ ASPA Oil & Gas Large Mid|NIM|USA
WIXUSAS6000.L|FTSE XUS-TELECOM|FSI|UK
^NQEMEA8700LMGBPN|NASDAQ EMEA Financial Svcs Lg M|NIM|USA
^RUFGTRJP|Russell Fundamental Germany Tot|WCB|USA
^NQUSB9537LM|NQ US  Software Large Mid Cap I|NIM|USA
OMXNMCSEKGI.ST|OMXN MID CAP SEK GI|STO|Sweden
IL10.L|FTSE UKGILT IL 0-15|FSI|UK
^NQKR9000CAD|NASDAQ Korea Tech CAD Index|NIM|USA
INWOO.PA|ISHS GTF INAV|PAR|France
^NQLA5300LMN|NASDAQ Lat America Retail Large|NIM|USA
SXG30P.Z|STXG30CNGEURP|ZRH|Switzerland
^XTPLCE|UBS Bloomberg CMCI Platinum Hed|WCB|USA
27974098.Z|IPAM OPTIMISED EUR|ZRH|Switzerland
^SPCIVET60|S&P; CIVETS 60 Index|SNP|USA
^NQPTLMEUR|NASDAQ Portugal Large Mid Cap E|NIM|USA
^VINXBCAPDKKGI|VINX Benchmark Cap DKK_GI|NIM|USA
WIXSAFS3350.L|FTSE XSA - AUTOMOB|FSI|UK
^NQEMKRMC|Nasdaq EM Plus Korea Mid Cap|NIM|USA
^NQSG0001EURN|NASDAQ Singapore Oil & Gas EUR |NIM|USA
21599971.SG|VERITEXGROWTHFOUND|STU|Germany
SXW8INSE.Z|STXG18XEUINS EUR P|ZRH|Switzerland
KTOP30ESTIX.KS|KTOP 30 Estimated Index|KSC|Korea
INSHI.NX|ETFS SHIP INAV|ENX|Europe
^NQEMEU8700AUD|NASDAQ EM Europe Financial Svcs|NIM|USA
^NQUSS4533AUDT|NQ US Sm Cap Health Care Provid|NIM|USA
^CMHETR1Y|UBS Bloomberg CMCI High Energy |WCB|USA
^NQDMXNAXKRLCGBP|Nasdaq DM Ex NA Ex Korea Large |NIM|USA
4N5F.DE|DAXSUB ALL ADV K|GER|Germany
^NQHK2000LMJPYT|NASDAQ Hong Kong Inds Large Mid|NIM|USA
^NQGXNACAD|NASDAQ Global Ex N America CAD |NIM|USA
^NQDMASIA0001AUDT|NASDAQ DM Asia Oil & Gas AUD TR|NIM|USA
MV1X.FGI|FTSE MV EXCHANGES|FGI|UK
SDB50UN.Z|STX HDLB 50 USD NR|ZRH|Switzerland
^W1XGA|Dow Jones Sustainability World |DJI|USA
^NQDMXUSXKRLMT|Nasdaq DM Ex US Ex Korea Large |NIM|USA
UKXS1X.L|FTSE 100 DAILY SHOR|FSI|UK
NAVF.DE|INAV ISH SLI EUR|GER|Germany
INCEM.NX|CASAMETF EMC INAV|ENX|Europe
SXTRUK1P.Z|STXTR100% EUR P|ZRH|Switzerland
^NQUSB5759EUR|NQ US Bnchmk Travel & Tourism E|NIM|USA
^NQEURO1700LMAUDN|NASDAQ Eurozone Basic Resources|NIM|USA
^TV.AX|Volume in 000's|ASX|Australia
^VMB|CVOL INDEX VIX FUTURE NEXT-TERM|CBO|USA
V1C6.DE|VDAX NEW MAERZ 06|GER|Germany
^DJUBHLT|Dow Jones-UBS Commodity Index Z|DJI|USA
^VINX6500NOKPI|VINX Telecommunications NOK PI|NIM|USA
^NQKRSCKRWT|NASDAQ Korea Small Cap KRW TR I|NIM|USA
^DWAMS|Dow Jones Americas Small-Cap To|DJI|USA
^OMXSCAPPI|OMXSCAPPI|STO|Sweden
INCI3.PA|CASETF EU.INFL.INAV|PAR|France
^NQUSB2753LMT|NQ US  Comml Vehicles & Trucks |NIM|USA
Q4H.Z|STXETMHHG EUR NR|ZRH|Switzerland
SXRBV.Z|STXE6NC-RTL USD NR|ZRH|Switzerland
^R25IV|Russell 2500 Value|WCB|USA
INXLA.NX|DBXT LAT.AMER. INAV|ENX|Europe
20976061.SG|IQ HED EMBETATR US |STU|Germany
4MXN.DE|INAVISHMSCIBRAZILJP|GER|Germany
C5UK9530.L|FTSE 100 CAP5-SOFT|FSI|UK
