Ticker|Name|Exchange|Country
DNASX|Dunham Alternative Strategy N|NAS|USA
ISTFX|Invesco Short Term Bond R6|NAS|USA
UO1F.SG|DT POSTBK VL-INVEST|STU|Germany
29431051.IR|NB GL SEN FL GBP-I-|ISE|UK
INDAX|ALPS|Kotak India Growth A|NAS|USA
KR5101A77801.KS|KIM PF US Value-Added Real Estate FoF 1|KSC|Korea
HGRAX|Henderson US Growth Opportunities A|NAS|USA
EGFIX|Edgewood Growth Instl|NAS|USA
22083392.IR|PAUL B/B/07/13.06H2|ISE|UK
KR5223959663.KS|KB Sector Representative Equity 1 C2|KSC|Korea
WZE3.HM|UBS L EQ EM HD PC|HAM|Germany
QUOTENTIALDI.TO|Franklin Quotential Diversified Inc Pt I|TOR|Canada
NNHIX|Nicholas High Income N|NAS|USA
IE00B6XTYC57.IR|Nomura Fds Asian Smaller Com Z $Acc|ISE|UK
150287.SZ|ZHONGRONG FUND MAN CNI FERROUS |SHZ|
PPILX|Deutsche Short Duration Institutional|NAS|USA
SIMLX|Western Asset Interm Maturity CA Muni C|NAS|USA
1464104.SW|NEPTUNE GLB EQ-A-AC|EBS|Austria
FIDELITYMAND.TO|Fidelity Bal Inc Ccy Netrl Priv Pool S5|TOR|Canada
KR5366A22178.KS|BlackRock USD High Yld MP Bd-FoF A Hdgd|KSC|Korea
30154382.IR|NU TIAA BD USD-A-AC|ISE|UK
IAXTRARGDIVE.TO|IA xtra GS Diversified|TOR|Canada
27956430.IR|PAUL B/041501X/NI|ISE|UK
DFELX|DFA Enhanced US Large Company I|NAS|USA
XRH5.HM|WW IP US H YLD A|HAM|Germany
JRSDX|INTECH US Mgd Volatility D|NAS|USA
GGVA.HM|BARING EUR SEL EUR|HAM|Germany
QMGCX|Oppenheimer Global Multi-Asset Growth C|NAS|USA
25282544.IR|JAN JAPAN GBP-U-ACC|ISE|UK
BMOPORTFNBPL.TO|BMO Balanced Yield Plus ETF Port Ser D|TOR|Canada
KR5104AO4001.KS|Hi Korea Growth PF Equity L5|KSC|Korea
SGRKX|Wells Fargo Growth Admin|NAS|USA
UI4.BE|UNIDEUTSCHLAND T|BER|Germany
30395885.SW|BEKB STR ZINS B|EBS|Austria
IIISX|American Indep BoydWatterson Core Pls I|NAS|USA
UGPSX|ProFunds UltraChina Service|NAS|USA
X0DN.DE|Commerzbank ETN -3x SPXF Daily Short|BER|Germany
LDMIX|Lazard Developing Markets Equity Instl|NAS|USA
TRSCX|TIAA-CREF Social Choice Eq Retire|NAS|USA
UAPSX|ProFunds UltraSmall Cap Svc|NAS|USA
