Ticker|Name|Exchange|V4
SGDLVL=X|SGD/LVL FIXING|CCY|NA
ARSCLP=X|ARS/CLP|CCY|NA
ARSHKD=X|ARS/HKD|CCY|NA
NOKUSD=X|NOK/USD|CCY|NA
MROMAD=X|MRO/MAD|CCY|NA
THBDKK=X|THB/DKK|CCY|NA
SEKSAR=X|SEK/SAR|CCY|NA
THBLKR=X|THB/LKR|CCY|NA
EURSEK=X|EUR/SEK|CCY|NA
SEKISK=X|SEK/ISK|CCY|NA
MYRINR=X|MYR/INR|CCY|NA
IEPCHF=X|IEP/CHF|CCY|NA
CHFMGA=X|CHF/MGA|CCY|NA
RUBPLN=X|RUB/PLN|CCY|NA
EURISK=X|EUR/ISK|CCY|NA
INRILS=X|INR/ILS|CCY|NA
LKRCAD=X|LKR/CAD|CCY|NA
RONDKK=X|RON/DKK|CCY|NA
KRWISK=X|KRW/ISK|CCY|NA
KWDUSD=X|KWD/USD|CCY|NA
KESHUF=X|KES/HUF|CCY|NA
TNDZAR=X|TND/ZAR|CCY|NA
THBEUR=X|THB/EUR|CCY|NA
NZDTHB=X|NZD/THB|CCY|NA
CNYUGX=X|CNY/UGX|CCY|NA
THBSEK=X|THB/SEK|CCY|NA
SARSEK=X|SAR/SEK|CCY|NA
TNDSEK=X|TND/SEK|CCY|NA
9B4B.MU|CARBON DIOXIDE|MUN|NA
EURCHF=X|EUR/CHF|CCY|NA
LVLLTL=X|LVL/LTL|CCY|NA
INRSGD=X|INR/SGD|CCY|NA
TRYTWD=X|TRY/TWD|CCY|NA
GBPUAH=X|GBP/UAH|CCY|NA
ZARCHF=X|ZAR/CHF|CCY|NA
GBPZMK=X|GBP/ZMK|CCY|NA
GBPNAD=X|GBP/NAD|CCY|NA
MZNCHF=X|MZN/CHF|CCY|NA
JPYZAR=X|JPY/ZAR|CCY|NA
GHSISK=X|GHS/ISK|CCY|NA
NGNUSD=X|NGN/USD|CCY|NA
CNYISK=X|CNY/ISK|CCY|NA
GDEBQ.MDD|ELECT. BASE.GER Q|MDD|NA
GBPGIP=X|GBP/GIP|CCY|NA
29134342=X|HUF/CZK|CCY|NA
JPYUYU=X|JPY/UYU|CCY|NA
UGXTZS=X|UGX/TZS|CCY|NA
GBPMRO=X|GBP/MRO|CCY|NA
IDEBQ.MDD|ELECT BASELOAD Q|MDD|NA
EUR-MNT.F|EUR/MNT|FRA|NA
SGDZWL=X|SGD/ZWL|CCY|NA
CADBYR=X|CAD/BYR|CCY|NA
TWDAED=X|TWD/AED|CCY|NA
RUBSAR=X|RUB/SAR|CCY|NA
HKDBHD=X|HKD/BHD|CCY|NA
CNYGBP=X|CNY/GBP|CCY|NA
CADBZD=X|CAD/BZD|CCY|NA
JPYSHP=X|JPY/SHP|CCY|NA
EURMAD=X|EUR/MAD|CCY|NA
MYRPEN=X|MYR/PEN|CCY|NA
CHFMRO=X|CHF/MRO|CCY|NA
EURPYG=X|EUR/PYG|CCY|NA
CHFEUR=X|CHF/EUR|CCY|NA
MYRCHF=X|MYR/CHF|CCY|NA
19753383.SW|GOLD 999.9/1000    |EBS|NA
ETBUSD=X|ETB/USD|CCY|NA
NPRCHF=X|NPR/CHF|CCY|NA
NOKMYR=X|NOK/MYR|CCY|NA
QARILS=X|QAR/ILS|CCY|NA
EUR-MAD.F|EUR/MAD|FRA|NA
TWDDKK=X|TWD/DKK|CCY|NA
JPYUZS=X|JPY/UZS|CCY|NA
ZMWGBP=X|ZMW/GBP|CCY|NA
MADINR=X|MAD/INR|CCY|NA
JODKES=X|JOD/KES|CCY|NA
LKRMXN=X|LKR/MXN|CCY|NA
MXNUSD=X|MXN/USD|CCY|NA
CADRSD=X|CAD/RSD|CCY|NA
CADBTN=X|CAD/BTN|CCY|NA
AUDIDR=X|AUD/IDR|CCY|NA
INRCZK=X|INR/CZK|CCY|NA
NZDHRK=X|NZD/HRK|CCY|NA
OMRMUR=X|OMR/MUR|CCY|NA
EURGYD=X|EUR/GYD|CCY|NA
985840=X|EUR/ZMK|CCY|NA
JPYLVL=X|JPY/LVL|CCY|NA
KGSUSD=X|KGS/USD|CCY|NA
CHFCAD=X|CHF/CAD|CCY|NA
CHFARS=X|CHF/ARS|CCY|NA
HKDMYR=X|HKD/MYR|CCY|NA
MADMXN=X|MAD/MXN|CCY|NA
GHSNZD=X|GHS/NZD|CCY|NA
AUDXDR=X|AUD/XDR|CCY|NA
AUDANG=X|AUD/ANG|CCY|NA
UGXIDR=X|UGX/IDR|CCY|NA
GBPRON=X|GBP/RON|CCY|NA
PLNBMD=X|PLN/BMD|CCY|NA
TOPUSD=X|TOP/USD|CCY|NA
MVRUSD=X|MVR/USD|CCY|NA
DKKTRY=X|DKK/TRY|CCY|NA
CHFPGK=X|CHF/PGK|CCY|NA
GHSDKK=X|GHS/DKK|CCY|NA
KWDHUF=X|KWD/HUF|CCY|NA
EUR-BGN.F|EUR/BGN|FRA|NA
TWDNZD=X|TWD/NZD|CCY|NA
PLNARS=X|PLN/ARS|CCY|NA
RONTHB=X|RON/THB|CCY|NA
LKRXDR=X|LKR/XDR|CCY|NA
XCDDKK=X|XCD/DKK|CCY|NA
GBPTMT=X|GBP/TMT|CCY|NA
LYDMAD=X|LYD/MAD|CCY|NA
CZKZAR=X|CZK/ZAR|CCY|NA
INRGBP=X|INR/GBP|CCY|NA
AEDEGP=X|AED/EGP|CCY|NA
DKKJOD=X|DKK/JOD|CCY|NA
TWDSEK=X|TWD/SEK|CCY|NA
RUBKES=X|RUB/KES|CCY|NA
VEFUYU=X|VEF/UYU|CCY|NA
NZDMAD=X|NZD/MAD|CCY|NA
KWDOMR=X|KWD/OMR|CCY|NA
EURSDG=X|EUR/SDG|CCY|NA
GHSUSD=X|GHS/USD|CCY|NA
29134338=X|DKK/CLP|CCY|NA
HKDCZK=X|HKD/CZK|CCY|NA
LVLTHB=X|LVL/THB|CCY|NA
PENCHF=X|PEN/CHF|CCY|NA
ZARAOA=X|ZAR/AOA|CCY|NA
LTLTND=X|LTL/TND|CCY|NA
EURTTD=X|EUR/TTD|CCY|NA
TWDHKD=X|TWD/HKD|CCY|NA
ARS=X|USD/ARS|CCY|NA
EURAFN=X|EUR/AFN|CCY|NA
RONRUB=X|RON/RUB|CCY|NA
VEFXDR=X|VEF/XDR|CCY|NA
GHSTRY=X|GHS/TRY|CCY|NA
CHFSVC=X|CHF/SVC|CCY|NA
ZARMXN=X|ZAR/MXN|CCY|NA
CADLRD=X|CAD/LRD|CCY|NA
29134355=X|SEK/CLP|CCY|NA
EURSHP=X|EUR/SHP|CCY|NA
HKDDKK=X|HKD/DKK|CCY|NA
EUR-NOK.F|EUR/NOK|FRA|NA
LTLISK=X|LTL/ISK|CCY|NA
EURUAH=X|EUR/UAH|CCY|NA
LTLUSD=X|LTL/USD|CCY|NA
SRDEUR=X|SRD/EUR|CCY|NA
QARTWD=X|QAR/TWD|CCY|NA
CADSLL=X|CAD/SLL|CCY|NA
CHFLKR=X|CHF/LKR|CCY|NA
SCR=X|USD/SCR|CCY|NA
CHBEZ.SW|BEZ.KURSE|EBS|NA
GBPCHF=X|GBP/CHF|CCY|NA
HRK=X|USD/HRK|CCY|NA
MURKRW=X|MUR/KRW|CCY|NA
EURAOA=X|EUR/AOA|CCY|NA
XF000EURHUF4.SG|EUR/HUF FIXING|STU|NA
BTNGBP=X|BTN/GBP|CCY|NA
AEDCNY=X|AED/CNY|CCY|NA
29134370=X|VEF/MXN|CCY|NA
MXNIDR=X|MXN/IDR|CCY|NA
MURGBP=X|MUR/GBP|CCY|NA
LVLCAD=X|LVL/CAD|CCY|NA
LVLHKD=X|LVL/HKD|CCY|NA
SGDUSD=X|SGD/USD|CCY|NA
JPYBIF=X|JPY/BIF|CCY|NA
DJF=X|USD/DJF|CCY|NA
PHPCNY=X|PHP/CNY|CCY|NA
881349.MC|ESP/EUR FIXING|MCE|NA
BBDEUR=X|BBD/EUR|CCY|NA
KWDAUD=X|KWD/AUD|CCY|NA
TOP=X|USD/TOP|CCY|NA
CHFQAR=X|CHF/QAR|CCY|NA
HKDZAR=X|HKD/ZAR|CCY|NA
CNYAUD=X|CNY/AUD|CCY|NA
TZS=X|USD/TZS|CCY|NA
CNYGHS=X|CNY/GHS|CCY|NA
HKDCAD=X|HKD/CAD|CCY|NA
PKRPHP=X|PKR/PHP|CCY|NA
MURKWD=X|MUR/KWD|CCY|NA
SEKKRW=X|SEK/KRW|CCY|NA
EUR-SGD.F|EUR/SGD|FRA|NA
CZKCAD=X|CZK/CAD|CCY|NA
LKRPHP=X|LKR/PHP|CCY|NA
NOKSEK=X|NOK/SEK|CCY|NA
PLNVEF=X|PLN/VEF|CCY|NA
INRHUF=X|INR/HUF|CCY|NA
AUDCLP=X|AUD/CLP|CCY|NA
THBIDR=X|THB/IDR|CCY|NA
ZMWJPY=X|ZMW/JPY|CCY|NA
CHFTWD=X|CHF/TWD|CCY|NA
EURZWL=X|EUR/ZWL|CCY|NA
CADRON=X|CAD/RON|CCY|NA
AOACHF=X|AOA/CHF|CCY|NA
SZL=X|USD/SZL|CCY|NA
TWD=X|USD/TWD|CCY|NA
PLNPEN=X|PLN/PEN|CCY|NA
VNDKRW=X|VND/KRW|CCY|NA
AEDZAR=X|AED/ZAR|CCY|NA
NZDCLP=X|NZD/CLP|CCY|NA
CAD=X|USD/CAD|CCY|NA
CHFCNH=X|CHF/CNH|CCY|NA
BWPAUD=X|BWP/AUD|CCY|NA
EOLS.F|EUR/GBP FIXING|FRA|NA
GBPVEF=X|GBP/VEF|CCY|NA
IDRJPY=X|IDR/JPY|CCY|NA
AUDGIP=X|AUD/GIP|CCY|NA
EURXOF=X|EUR/XOF|CCY|NA
BDTSGD=X|BDT/SGD|CCY|NA
IDEBM.MDD|ELECTR BASELOAD M |MDD|NA
BWPVND=X|BWP/VND|CCY|NA
EURBBD=X|EUR/BBD|CCY|NA
CHFAUD=X|CHF/AUD|CCY|NA
GHSCAD=X|GHS/CAD|CCY|NA
BZDGBP=X|BZD/GBP|CCY|NA
CADIDR=X|CAD/IDR|CCY|NA
PLN=X|USD/PLN|CCY|NA
HRKHKD=X|HRK/HKD|CCY|NA
AUDLTL=X|AUD/LTL|CCY|NA
MADKWD=X|MAD/KWD|CCY|NA
SVCGBP=X|SVC/GBP|CCY|NA
CHFTMT=X|CHF/TMT|CCY|NA
RUBKRW=X|RUB/KRW|CCY|NA
EUR-HTG.F|EUR/HTG|FRA|NA
CHFHKD=X|CHF/HKD|CCY|NA
MYRTWD=X|MYR/TWD|CCY|NA
CNYSGD=X|CNY/SGD|CCY|NA
MYRCOP=X|MYR/COP|CCY|NA
INRRUB=X|INR/RUB|CCY|NA
AOAUSD=X|AOA/USD|CCY|NA
XCD=X|USD/XCD|CCY|NA
ILSSEK=X|ILS/SEK|CCY|NA
PHPSGD=X|PHP/SGD|CCY|NA
BOBPYG=X|BOB/PYG|CCY|NA
IDRKES=X|IDR/KES|CCY|NA
NZDEUR=X|NZD/EUR|CCY|NA
EGPRUB=X|EGP/RUB|CCY|NA
GBPGHS=X|GBP/GHS|CCY|NA
RONHKD=X|RON/HKD|CCY|NA
NZDLVL=X|NZD/LVL|CCY|NA
NIOGBP=X|NIO/GBP|CCY|NA
